Time,Trial,Event,Player.Color,Position.X,Position.Y,Planet.Id,WhiteHole.Interaction.BluePlayer,WhiteHole.Interaction.RedPlayer,Planet.Interaction.BluePlayer,Planet.Interaction.RedPlayer,Asteroid.Interaction.BluePlayer,Asteroid.Interaction.RedPlayer
2020-03-11 12:10:45.802000,11,WhiteHole.SinglePlayer.Exit,Blue Player,27.0,79.0,,1,0,0,0,0,0
2020-03-11 12:10:45.812000,11,,,,,,0,0,0,0,0,0
2020-03-11 12:10:58.306800,11,Planet.SinglePlayer.Connection,Red Player,38.0,63.0,6328.0,0,0,0,1,0,0
2020-03-11 12:11:02.691000,11,Planet.SinglePlayer.Connection,Blue Player,59.0,49.0,7578.0,0,0,1,1,0,0
2020-03-11 12:11:02.758000,11,Planet.SinglePlayer.Exit,Red Player,37.0,63.0,6328.0,0,0,1,1,0,0
2020-03-11 12:11:02.768000,11,,,,,,0,0,1,0,0,0
2020-03-11 12:11:03.636100,11,WhiteHole.SinglePlayer.Touch,Red Player,27.0,79.0,,0,1,1,0,0,0
2020-03-11 12:11:04.486100,11,WhiteHole.SinglePlayer.Exit,Red Player,27.0,79.0,,0,1,1,0,0,0
2020-03-11 12:11:04.496100,11,,,,,,0,0,1,0,0,0
2020-03-11 12:11:05.591200,11,Planet.SinglePlayer.Exit,Blue Player,53.0,54.0,7578.0,0,0,1,0,0,0
2020-03-11 12:11:05.601200,11,,,,,,0,0,0,0,0,0
2020-03-11 12:11:06.841200,11,Planet.SinglePlayer.Connection,Red Player,37.0,64.0,6328.0,0,0,0,1,0,0
2020-03-11 12:11:07.991300,11,Planet.SinglePlayer.Connection,Blue Player,55.0,51.0,7578.0,0,0,1,1,0,0
2020-03-11 12:11:08.692400,11,Planet.SinglePlayer.Exit,Blue Player,53.0,54.0,7578.0,0,0,1,1,0,0
2020-03-11 12:11:08.702400,11,,,,,,0,0,0,1,0,0
2020-03-11 12:11:09.142400,11,Planet.SinglePlayer.Exit,Red Player,37.0,63.0,6328.0,0,0,0,1,0,0
2020-03-11 12:11:09.152400,11,,,,,,0,0,0,0,0,0
2020-03-11 12:11:16.522800,11,End,,,,,0,0,0,0,0,0
