Time,Player.Color,Position.X,Position.Y,Pos
2020/03/11 09:35:31.1088,Red Player,43,46,(43+46j)
2020/03/11 09:35:31.1118,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.1258,Red Player,43,46,(43+46j)
2020/03/11 09:35:31.1288,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.1418,Red Player,43,46,(43+46j)
2020/03/11 09:35:31.1458,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.1588,Red Player,43,46,(43+46j)
2020/03/11 09:35:31.1618,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.1758,Red Player,43,46,(43+46j)
2020/03/11 09:35:31.1788,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.1918,Red Player,43,46,(43+46j)
2020/03/11 09:35:31.1958,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.2088,Red Player,43,46,(43+46j)
2020/03/11 09:35:31.2128,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.2258,Red Player,43,46,(43+46j)
2020/03/11 09:35:31.2298,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.2418,Red Player,44,46,(44+46j)
2020/03/11 09:35:31.2468,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.2588,Red Player,44,46,(44+46j)
2020/03/11 09:35:31.2638,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.2758,Red Player,44,46,(44+46j)
2020/03/11 09:35:31.2798,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.2928,Red Player,44,46,(44+46j)
2020/03/11 09:35:31.2968,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.3098,Red Player,44,46,(44+46j)
2020/03/11 09:35:31.3138,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.3258,Red Player,44,46,(44+46j)
2020/03/11 09:35:31.3298,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.3428,Red Player,44,46,(44+46j)
2020/03/11 09:35:31.3468,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.3588,Red Player,44,46,(44+46j)
2020/03/11 09:35:31.3628,Blue Player,35,44,(35+44j)
2020/03/11 09:35:31.3758,Red Player,44,46,(44+46j)
2020/03/11 09:35:31.3778,Blue Player,35,44,(35+44j)
